Week_Start,Week_End,Gross,Attendance,Percent_Capacity,Number_of_Previews,Number_of_Perf
1/9/2023,1/15/2023,"1,667,292.00","13,755",95%,0,8
1/16/2023,1/22/2023,"1,657,437.00","14,492",97%,0,8
1/23/2023,1/29/2023,"1,549,247.00","14,201",98%,0,8
1/30/2023,2/5/2023,"1,492,755.00","14,254",99%,0,8
2/6/2023,2/12/2023,"1,466,260.00","14,808",99%,0,8
2/13/2023,2/19/2023,"1,791,292.00","13,921",96%,0,8
2/20/2023,2/26/2023,"1,781,581.00","14,633",98%,0,8
2/27/2023,3/5/2023,"1,388,296.00","12,824",89%,0,8
3/6/2023,3/12/2023,"1,689,369.00","14,693",98%,0,8
3/13/2023,3/19/2023,"2,038,192.00","15,383",100%,0,8
3/20/2023,3/26/2023,"1,878,920.00","14,853",99%,0,8
3/27/2023,4/2/2023,"2,001,359.00","15,346",100%,0,8
4/3/2023,4/9/2023,"2,751,659.00","17,327",100%,0,9
4/10/2023,4/16/2023,"2,251,012.00","15,258",99%,0,8
4/17/2023,4/23/2023,"1,732,716.00","14,084",97%,0,8
4/24/2023,4/30/2023,"1,652,822.00","13,722",95%,0,8
5/1/2023,5/7/2023,"1,484,958.00","12,479",86%,0,8
5/8/2023,5/14/2023,"1,500,186.00","12,539",87%,0,8
5/15/2023,5/21/2023,"1,678,944.00","13,885",96%,0,8
5/22/2023,5/28/2023,"1,825,756.00","14,749",99%,0,8
5/29/2023,6/4/2023,"1,873,517.00","14,764",99%,0,8
6/5/2023,6/11/2023,"1,954,264.00","15,170",98%,0,8
6/12/2023,6/18/2023,"1,985,112.00","15,251",99%,0,8
6/19/2023,6/25/2023,"1,993,797.00","15,222",99%,0,8
6/26/2023,7/2/2023,"1,880,218.00","14,379",99%,0,8
7/3/2023,7/9/2023,"1,967,790.00","14,866",100%,0,8
7/10/2023,7/16/2023,"1,802,596.00","13,831",96%,0,8
7/17/2023,7/23/2023,"1,916,041.00","14,554",97%,0,8
7/24/2023,7/30/2023,"2,139,425.00","16,451",98%,0,9
7/31/2023,8/6/2023,"1,910,102.00","14,585",98%,0,8
8/7/2023,8/13/2023,"1,808,293.00","13,876",96%,0,8
8/14/2023,8/20/2023,"1,559,480.00","12,433",86%,0,8
8/21/2023,8/27/2023,"1,514,362.00","12,475",86%,0,8
8/28/2023,9/3/2023,"1,697,027.00","13,559",94%,0,8
9/4/2023,9/10/2023,"1,487,873.00","13,879",96%,0,8
9/11/2023,9/17/2023,"1,526,289.00","14,186",98%,0,8
9/18/2023,9/24/2023,"1,321,960.00","11,126",77%,0,8
9/25/2023,10/1/2023,"1,420,368.00","11,817",82%,0,8
10/2/2023,10/8/2023,"1,926,142.00","14,207",98%,0,8
10/9/2023,10/15/2023,"1,906,835.00","14,973",97%,0,8
10/16/2023,10/22/2023,"1,809,977.00","14,499",97%,0,8
10/23/2023,10/29/2023,"1,922,483.00","14,023",97%,0,8
